threshold,precision,recall,f1,accuracy,Steve_Score
0,0.17,1,0.29,0.17,0.4
0.06,0.17,1,0.29,0.17,0.4
0.11,0.17,1,0.29,0.17,0.4
0.17,0.17,1,0.29,0.17,0.4
0.22,0.17,1,0.29,0.17,0.4
0.28,0.17,1,0.29,0.17,0.4
0.33,0.17,1,0.29,0.17,0.4
0.39,0.17,1,0.29,0.17,0.4
0.44,0.17,1,0.29,0.17,0.4
0.5,0.17,1,0.29,0.17,0.4
0.56,0.17,1,0.29,0.17,0.4
0.61,0.2,1,0.33,0.33,0.47
0.67,0.2,1,0.33,0.33,0.47
0.72,0.29,1,0.44,0.58,0.58
0.78,0.4,1,0.57,0.75,0.68
0.83,0.25,0.5,0.33,0.67,0.44
0.89,0,0,0,0.83,0.21
0.94,0,0,0,0.83,0.21
1,0,0,0,0.83,0.21